Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          LazyCompile: ~startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
      1  100.0%            Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1    2.3%      LazyCompile: ~append internal/linkedlist.js:29:16
      1  100.0%        LazyCompile: ~insert internal/timers.js:305:16
      1  100.0%          LazyCompile: ~active internal/timers.js:291:16
      1  100.0%            LazyCompile: ~setInterval timers.js:162:21
      1    2.3%      LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:145:30
      1  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:137:22
      1  100.0%          LazyCompile: ~Socket._writeGeneric net.js:742:42
      1  100.0%            LazyCompile: ~Socket._write net.js:779:35
      1    2.3%      LazyCompile: ~afterWrite _stream_writable.js:493:20
      1  100.0%        LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      1    2.3%      LazyCompile: ~addListener events.js:283:58
      1  100.0%        LazyCompile: ~setupWarningHandler internal/bootstrap/pre_execution.js:106:29
      1  100.0%          LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:9:36
      1  100.0%            Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    2.3%      LazyCompile: ~Socket._writeGeneric net.js:742:42
      1  100.0%        LazyCompile: ~Socket._write net.js:779:35
      1  100.0%          LazyCompile: ~doWrite _stream_writable.js:421:17
      1  100.0%            LazyCompile: ~writeOrBuffer _stream_writable.js:381:23
      1    2.3%      LazyCompile: ~Socket net.js:252:16
      1  100.0%        LazyCompile: ~WriteStream tty.js:80:21
      1  100.0%          LazyCompile: ~createWritableStdioStream internal/process/stdio.js:149:35
      1  100.0%            LazyCompile: ~getStdout internal/process/stdio.js:26:21
      1    2.3%      LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:725:35
      1  100.0%        LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
      1  100.0%          LazyCompile: ~Module.runMain internal/modules/cjs/loader.js:1000:26
      1  100.0%            Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    2.3%      LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:458:28
      1  100.0%        LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:725:35
      1  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
